Title,Director,Year,Genre
Inception,Christopher Nolan,2010,Sci-Fi
The Matrix,The Wachowskis,1999,Sci-Fi
Interstellar,Christopher Nolan,2014,Sci-Fi
The Godfather,Francis Ford Coppola,1972,Crime
Pulp Fiction,Quentin Tarantino,1994,Crime
The Dark Knight,Christopher Nolan,2008,Action
Fight Club,David Fincher,1999,Drama
Forrest Gump,Robert Zemeckis,1994,Drama
The Shawshank Redemption,Frank Darabont,1994,Drama
Gladiator,Ridley Scott,2000,Action
Titanic,James Cameron,1997,Romance
Avatar,James Cameron,2009,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,Fantasy
Star Wars,George Lucas,1977,Sci-Fi
Jurassic Park,Steven Spielberg,1993,Adventure
The Lion King,Roger Allers,1994,Animation
The Avengers,Joss Whedon,2012,Action
Harry Potter and the Sorcerer's Stone,Chris Columbus,2001,Fantasy
The Silence of the Lambs,Jonathan Demme,1991,Thriller
Braveheart,Mel Gibson,1995,Drama
Django Unchained,Quentin Tarantino,2012,Western
Schindler's List,Steven Spielberg,1993,Drama
The Departed,Martin Scorsese,2006,Crime
The Prestige,Christopher Nolan,2006,Mystery
Goodfellas,Martin Scorsese,1990,Crime
The Green Mile,Frank Darabont,1999,Drama
Saving Private Ryan,Steven Spielberg,1998,War
Black Panther,Ryan Coogler,2018,Action
Wonder Woman,Patty Jenkins,2017,Action
Avengers: Endgame,Anthony and Joe Russo,2019,Action
Spider-Man: Into the Spider-Verse,Bob Persichetti,2018,Animation
Coco,Lee Unkrich,2017,Animation
Frozen,Chris Buck,2013,Animation
Inside Out,Pete Docter,2015,Animation
Up,Pete Docter,2009,Animation
The Incredibles,Brad Bird,2004,Animation
Ratatouille,Brad Bird,2007,Animation
Finding Nemo,Andrew Stanton,2003,Animation
Toy Story,John Lasseter,1995,Animation
"Monsters, Inc.",Pete Docter,2001,Animation
The Wolf of Wall Street,Martin Scorsese,2013,Drama
La La Land,Damien Chazelle,2016,Musical
Whiplash,Damien Chazelle,2014,Drama
Mad Max: Fury Road,George Miller,2015,Action
Logan,James Mangold,2017,Action
Deadpool,Tim Miller,2016,Action
The Social Network,David Fincher,2010,Drama
Get Out,Jordan Peele,2017,Horror
A Quiet Place,John Krasinski,2018,Horror
Her,Spike Jonze,2013,Romance
Blade Runner 2049,Denis Villeneuve,2017,Sci-Fi
The Irishman,Martin Scorsese,2019,Crime
The Revenant,Alejandro G. Iñárritu,2015,Drama
12 Years a Slave,Steve McQueen,2013,Drama
Argo,Ben Affleck,2012,Thriller
Slumdog Millionaire,Danny Boyle,2008,Drama
The King's Speech,Tom Hooper,2010,Drama
The Pianist,Roman Polanski,2002,Drama
Amélie,Jean-Pierre Jeunet,2001,Comedy
The Grand Budapest Hotel,Wes Anderson,2014,Comedy
